Area,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AL,5024279.0,4999824.7,4975370.4,4950916.1,4926461.8,4902007.5,4877553.2,4853098.9,4828644.6,4804190.3,4779736.0,4746472.4,4713208.8,4679945.2,4646681.6,4613418.0,4580154.4,4546890.8,4513627.2,4480363.6,4447100.0,4406448.7,4365797.4,4325146.1,4284494.8,4243843.5,4203192.2,4162540.9,4121889.6,4081238.3,4040587.0,4025917.1,4011247.2,3996577.3,3981907.4,3967237.5,3952567.6,3937897.7,3923227.8,3908557.9,3893888.0,3848915.7,3803943.4,3758971.1,3713998.8,3669026.5,3624054.2,3579081.9,3534109.6,3489137.3,3444165.0,3426422.5,3408680.0,3390937.5,3373195.0,3355452.5,3337710.0,3319967.5,3302225.0,3284482.5,3266740.0,3246240.3,3225740.6,3205240.9,3184741.2,3164241.5,3143741.8,3123242.1,3102742.4,3082242.7,3061743.0,3038864.8,3015986.6,2993108.4,2970230.2,2947352.0,2924473.8,2901595.6,2878717.4,2855839.2,2832961.0,2814289.7,2795618.4,2776947.1,2758275.8,2739604.5,2720933.2,2702261.9,2683590.6,2664919.3,2646248.0,2616440.6,2586633.2,2556825.8,2527018.4,2497211.0,2467403.6,2437596.2,2407788.8,2377981.4,2348174.0,2327165.9,2306157.8,2285149.7,2264141.6,2243133.5,2222125.4,2201117.3,2180109.2,2159101.1,2138093.0,2117084.9,2096076.8,2075068.7,2054060.6,2033052.5
AK,733391.0,731075.0,728759.0,726443.0,724127.0,721811.0,719495.0,717179.0,714863.0,712547.0,710231.0,701901.1,693571.2,685241.3,676911.4,668581.5,660251.6,651921.7,643591.8,635261.9,626932.0,619243.1,611554.2,603865.3,596176.4,588487.5,580798.6,573109.7,565420.8,557731.9,550043.0,535223.8,520404.6,505585.4,490766.2,475947.0,461127.8,446308.6,431489.4,416670.2,401851.0,391704.1,381557.2,371410.3,361263.4,351116.5,340969.6,330822.7,320675.8,310528.9,300382.0,292960.5,285539.0,278117.5,270696.0,263274.5,255853.0,248431.5,241010.0,233588.5,226167.0,216414.6,206662.2,196909.8,187157.4,177405.0,167652.6,157900.2,148147.8,138395.40000000002,128643.0,123031.1,117419.2,111807.3,106195.4,100583.5,94971.6,89359.70000000001,83747.8,78135.9,72524.0,71199.4,69874.8,68550.2,67225.6,65901.0,64576.4,63251.8,61927.2,60602.6,59278.0,58853.8,58429.6,58005.4,57581.2,57157.0,56732.8,56308.6,55884.4,55460.2,55036.0,55968.0,56900.0,57832.0,58764.0,59696.0,60628.0,61560.0,62492.0,63424.0,64356.0,65288.0,66220.0,67152.0,68084.0,69016.0
AZ,7151502.0,7075553.5,6999605.0,6923656.5,6847708.0,6771759.5,6695811.0,6619862.5,6543914.0,6467965.5,6392017.0,6265878.5,6139740.0,6013601.5,5887463.0,5761324.5,5635186.0,5509047.5,5382909.0,5256770.5,5130632.0,4984091.6,4837551.2,4691010.8,4544470.4,4397930.0,4251389.6,4104849.2,3958308.8,3811768.4,3665228.0,3570526.7,3475825.4,3381124.1,3286422.8,3191721.5,3097020.2,3002318.9,2907617.6,2812916.3,2718215.0,2623483.5,2528752.0,2434020.5,2339289.0,2244557.5,2149826.0,2055094.5,1960363.0,1865631.5,1770900.0,1724026.1,1677152.2,1630278.3,1583404.4,1536530.5,1489656.6,1442782.7,1395908.8,1349034.9,1302161.0,1246903.6,1191646.2,1136388.8,1081131.4,1025874.0,970616.6,915359.2,860101.8,804844.3999999999,749587.0,724554.4,699521.8,674489.2,649456.6,624424.0,599391.4,574358.8,549326.2,524293.6,499261.0,492892.2,486523.4,480154.6,473785.8,467417.0,461048.2,454679.4,448310.6,441941.8,435573.0,425431.9,415290.8,405149.7,395008.6,384867.5,374726.4,364585.3,354444.2,344303.1,334162.0,321181.2,308200.4,295219.6,282238.8,269258.0,256277.2,243296.4,230315.6,217334.8,204354.0,191373.2,178392.4,165411.6,152430.8,139450.0
AR,3011524.0,3001963.4,2992402.8,2982842.2,2973281.6,2963721.0,2954160.4,2944599.8,2935039.2,2925478.6,2915918.0,2891666.2,2867414.4,2843162.6,2818910.8,2794659.0,2770407.2,2746155.4,2721903.6,2697651.8,2673400.0,2641132.5,2608865.0,2576597.5,2544330.0,2512062.5,2479795.0,2447527.5,2415260.0,2382992.5,2350725.0,2344296.0,2337867.0,2331438.0,2325009.0,2318580.0,2312151.0,2305722.0,2299293.0,2292864.0,2286435.0,2250121.0,2213807.0,2177493.0,2141179.0,2104865.0,2068551.0,2032237.0,1995923.0,1959609.0,1923295.0,1909592.7,1895890.4,1882188.1,1868485.8,1854783.5,1841081.2,1827378.9,1813676.6,1799974.3,1786272.0,1798595.9,1810919.8,1823243.7,1835567.6,1847891.5,1860215.4,1872539.3,1884863.2,1897187.1,1909511.0,1913498.6,1917486.2,1921473.8,1925461.4,1929449.0,1933436.6,1937424.2,1941411.8,1945399.4,1949387.0,1939896.5,1930406.0,1920915.5,1911425.0,1901934.5,1892444.0,1882953.5,1873463.0,1863972.5,1854482.0,1844254.2,1834026.4,1823798.6,1813570.8,1803343.0,1793115.2,1782887.4,1772659.6,1762431.8,1752204.0,1734428.5,1716653.0,1698877.5,1681102.0,1663326.5,1645551.0,1627775.5,1610000.0,1592224.5,1574449.0,1556673.5,1538898.0,1521122.5,1503347.0,1485571.5
CA,39538223.0,39309796.3,39081369.6,38852942.9,38624516.2,38396089.5,38167662.8,37939236.1,37710809.4,37482382.7,37253956.0,36915725.2,36577494.4,36239263.6,35901032.8,35562802.0,35224571.2,34886340.4,34548109.6,34209878.8,33871648.0,33460485.3,33049322.6,32638159.9,32226997.2,31815834.5,31404671.8,30993509.1,30582346.4,30171183.7,29760021.0,29150809.1,28541597.2,27932385.3,27323173.4,26713961.5,26104749.6,25495537.7,24886325.8,24277113.9,23667902.0,23296425.2,22924948.4,22553471.6,22181994.8,21810518.0,21439041.2,21067564.4,20696087.6,20324610.8,19953134.0,19529541.0,19105948.0,18682355.0,18258762.0,17835169.0,17411576.0,16987983.0,16564390.0,16140797.0,15717204.0,15204105.9,14691007.8,14177909.7,13664811.6,13151713.5,12638615.4,12125517.3,11612419.2,11099321.1,10586223.0,10218339.4,9850455.8,9482572.2,9114688.6,8746805.0,8378921.4,8011037.800000001,7643154.2,7275270.6,6907387.0,6784373.4,6661359.8,6538346.2,6415332.6,6292319.0,6169305.4,6046291.8,5923278.2,5800264.6,5677251.0,5452212.0,5227173.0,5002134.0,4777095.0,4552056.0,4327017.0,4101978.0,3876939.0,3651900.0,3426861.0,3321929.8,3216998.6,3112067.4,3007136.2,2902205.0,2797273.8,2692342.6,2587411.4,2482480.2,2377549.0,2272617.8,2167686.6,2062755.4,1957824.2,1852893.0
CO,5773714.0,5699262.2,5624810.4,5550358.6,5475906.8,5401455.0,5327003.2,5252551.4,5178099.6,5103647.8,5029196.0,4956402.5,4883609.0,4810815.5,4738022.0,4665228.5,4592435.0,4519641.5,4446848.0,4374054.5,4301261.0,4200574.3,4099887.6,3999200.9,3898514.2,3797827.5,3697140.8,3596454.1,3495767.4,3395080.7,3294394.0,3253951.0,3213508.0,3173065.0,3132622.0,3092179.0,3051736.0,3011293.0,2970850.0,2930407.0,2889964.0,2821693.5,2753423.0,2685152.5,2616882.0,2548611.5,2480341.0,2412070.5,2343800.0,2275529.5,2207259.0,2161927.8,2116596.6,2071265.4,2025934.2,1980603.0,1935271.8,1889940.6,1844609.4,1799278.2,1753947.0,1711061.2,1668175.4,1625289.6,1582403.8,1539518.0,1496632.2,1453746.4,1410860.6,1367974.8,1325089.0,1304909.7,1284730.4,1264551.1,1244371.8,1224192.5,1204013.2,1183833.9,1163654.6,1143475.3,1123296.0,1114545.5,1105795.0,1097044.5,1088294.0,1079543.5,1070793.0,1062042.5,1053292.0,1044541.5,1035791.0,1026174.8,1016558.6,1006942.4,997326.2,987710.0,978093.8,968477.6,958861.4,949245.2,939629.0,925568.5,911508.0,897447.5,883387.0,869326.5,855266.0,841205.5,827145.0,813084.5,799024.0,784963.5,770903.0,756842.5,742782.0,728721.5
CT,3605944.0,3602759.3,3599574.6,3596389.9,3593205.2,3590020.5,3586835.8,3583651.1,3580466.4,3577281.7,3574097.0,3557243.8,3540390.6,3523537.4,3506684.2,3489831.0,3472977.8,3456124.6,3439271.4,3422418.2,3405565.0,3393720.1,3381875.2,3370030.3,3358185.4,3346340.5,3334495.6,3322650.7,3310805.8,3298960.9,3287116.0,3269162.0,3251208.0,3233254.0,3215300.0,3197346.0,3179392.0,3161438.0,3143484.0,3125530.0,3107576.0,3099989.3,3092402.6,3084815.9,3077229.2,3069642.5,3062055.8,3054469.1,3046882.4,3039295.7,3031709.0,2982061.5,2932414.0,2882766.5,2833119.0,2783471.5,2733824.0,2684176.5,2634529.0,2584881.5,2535234.0,2482438.6,2429643.2,2376847.8,2324052.4,2271257.0,2218461.6,2165666.2,2112870.8,2060075.4,2007280.0,1977476.2,1947672.4,1917868.6,1888064.8,1858261.0,1828457.2,1798653.4,1768849.6,1739045.8,1709242.0,1699008.1,1688774.2,1678540.3,1668306.4,1658072.5,1647838.6,1637604.7,1627370.8,1617136.9,1606903.0,1584275.8,1561648.6,1539021.4,1516394.2,1493767.0,1471139.8,1448512.6,1425885.4,1403258.2,1380631.0,1354043.5,1327456.0,1300868.5,1274281.0,1247693.5,1221106.0,1194518.5,1167931.0,1141343.5,1114756.0,1088168.5,1061581.0,1034993.5,1008406.0,981818.5
DE,989948.0,980746.6,971545.2,962343.8,953142.4,943941.0,934739.6,925538.2,916336.8,907135.4,897934.0,886500.6,875067.2,863633.8,852200.4,840767.0,829333.6,817900.2,806466.8,795033.4,783600.0,771856.8,760113.6,748370.4,736627.2,724884.0,713140.8,701397.6,689654.4,677911.2,666168.0,658985.0,651802.0,644619.0,637436.0,630253.0,623070.0,615887.0,608704.0,601521.0,594338.0,589714.6,585091.2,580467.8,575844.4,571221.0,566597.6,561974.2,557350.8,552727.4,548104.0,537922.8,527741.6,517560.4,507379.2,497198.0,487016.8,476835.6,466654.4,456473.2,446292.0,433471.3,420650.6,407829.9,395009.2,382188.5,369367.8,356547.1,343726.4,330905.7,318085.0,312927.0,307769.0,302611.0,297453.0,292295.0,287137.0,281979.0,276821.0,271663.0,266505.0,263692.5,260880.0,258067.5,255255.0,252442.5,249630.0,246817.5,244005.0,241192.5,238380.0,236842.3,235304.6,233766.9,232229.2,230691.5,229153.8,227616.1,226078.4,224540.7,223003.0,220934.9,218866.8,216798.7,214730.6,212662.5,210594.4,208526.3,206458.2,204390.1,202322.0,200253.9,198185.8,196117.7,194049.6,191981.5
DC,689545.0,680762.8,671980.6,663198.4,654416.2,645634.0,636851.8,628069.6,619287.4,610505.2,601723.0,598756.6,595790.2,592823.8,589857.4,586891.0,583924.6,580958.2,577991.8,575025.4,572059.0,575543.1,579027.2,582511.3,585995.4,589479.5,592963.6,596447.7,599931.8,603415.9,606900.0,610043.3,613186.6,616329.9,619473.2,622616.5,625759.8,628903.1,632046.4,635189.7,638333.0,650150.7,661968.4,673786.1,685603.8,697421.5,709239.2,721056.9,732874.6,744692.3,756510.0,757254.6,757999.2,758743.8,759488.4,760233.0,760977.6,761722.2,762466.8,763211.4,763956.0,767778.2,771600.4,775422.6,779244.8,783067.0,786889.2,790711.4,794533.6,798355.8,802178.0,788269.3,774360.6,760451.9,746543.2,732634.5,718725.8,704817.1,690908.4,676999.7,663091.0,645468.8,627846.6,610224.4,592602.2,574980.0,557357.8,539735.6,522113.4,504491.2,486869.0,481939.2,477009.4,472079.6,467149.8,462220.0,457290.2,452360.4,447430.6,442500.8,437571.0,426920.8,416270.6,405620.4,394970.2,384320.0,373669.8,363019.6,352369.4,341719.2,331069.0,320418.8,309768.6,299118.4,288468.2,277818.0
FL,21538187.0,21264499.3,20990811.6,20717123.9,20443436.2,20169748.5,19896060.8,19622373.1,19348685.4,19074997.7,18801310.0,18519416.8,18237523.6,17955630.4,17673737.2,17391844.0,17109950.8,16828057.6,16546164.4,16264271.2,15982378.0,15677932.8,15373487.6,15069042.4,14764597.2,14460152.0,14155706.8,13851261.6,13546816.4,13242371.2,12937926.0,12618765.8,12299605.6,11980445.4,11661285.2,11342125.0,11022964.8,10703804.6,10384644.4,10065484.2,9746324.0,9450635.9,9154947.8,8859259.7,8563571.6,8267883.5,7972195.4,7676507.300000001,7380819.2,7085131.1,6789443.0,6605654.7,6421866.4,6238078.1,6054289.8,5870501.5,5686713.2,5502924.9,5319136.6,5135348.3,4951560.0,4733534.5,4515509.0,4297483.5,4079458.0,3861432.5,3643407.0,3425381.5,3207356.0,2989330.5,2771305.0,2683915.9,2596526.8,2509137.7,2421748.6,2334359.5,2246970.4,2159581.3,2072192.2,1984803.1,1897414.0,1854493.7,1811573.4,1768653.1,1725732.8,1682812.5,1639892.2,1596971.9,1554051.6,1511131.3,1468211.0,1418236.9,1368262.8,1318288.7,1268314.6,1218340.5,1168366.4,1118392.3,1068418.2,1018444.1,968470.0,946884.9,925299.8,903714.7,882129.6,860544.5,838959.4,817374.3,795789.2,774204.1,752619.0,731033.9,709448.8,687863.7,666278.6,644693.5
GA,10711908.0,10609482.5,10507057.0,10404631.5,10302206.0,10199780.5,10097355.0,9994929.5,9892504.0,9790078.5,9687653.0,9537533.0,9387413.0,9237293.0,9087173.0,8937053.0,8786933.0,8636813.0,8486693.0,8336573.0,8186453.0,8015629.3,7844805.6,7673981.9,7503158.2,7332334.5,7161510.8,6990687.1,6819863.4,6649039.7,6478216.0,6376704.9,6275193.8,6173682.7,6072171.6,5970660.5,5869149.4,5767638.3,5666127.2,5564616.1,5463105.0,5375752.0,5288399.0,5201046.0,5113693.0,5026340.0,4938987.0,4851634.0,4764281.0,4676928.0,4589575.0,4524929.1,4460283.2,4395637.3,4330991.4,4266345.5,4201699.6,4137053.7,4072407.8,4007761.9,3943116.0,3893262.2,3843408.4,3793554.6,3743700.8,3693847.0,3643993.2,3594139.4,3544285.6,3494431.8,3444578.0,3412492.5,3380407.0,3348321.5,3316236.0,3284150.5,3252065.0,3219979.5,3187894.0,3155808.5,3123723.0,3102201.3,3080679.6,3059157.9,3037636.2,3016114.5,2994592.8,2973071.1,2951549.4,2930027.7,2908506.0,2907238.6,2905971.2,2904703.8,2903436.4,2902169.0,2900901.6,2899634.2,2898366.8,2897099.4,2895832.0,2867160.9,2838489.8,2809818.7,2781147.6,2752476.5,2723805.4,2695134.3,2666463.2,2637792.1,2609121.0,2580449.9,2551778.8,2523107.7,2494436.6,2465765.5
HI,1455271.0,1445774.0,1436277.0,1426780.0,1417283.0,1407786.0,1398289.0,1388792.0,1379295.0,1369798.0,1360301.0,1345424.6,1330548.2,1315671.8,1300795.4,1285919.0,1271042.6,1256166.2,1241289.8,1226413.4,1211537.0,1201206.2,1190875.4,1180544.6,1170213.8,1159883.0,1149552.2,1139221.4,1128890.6,1118559.8,1108229.0,1093875.2,1079521.4,1065167.6,1050813.8,1036460.0,1022106.2,1007752.4,993398.6,979044.8,964691.0,945078.0,925465.0,905852.0,886239.0,866626.0,847013.0,827400.0,807787.0,788174.0,768561.0,754982.1,741403.2,727824.3,714245.4,700666.5,687087.6,673508.7,659929.8,646350.9,632772.0,619474.2,606176.4,592878.6,579580.8,566283.0,552985.2,539687.4,526389.6,513091.8,499794.0,492147.6,484501.2,476854.8,469208.4,461562.0,453915.6,446269.2,438622.8,430976.4,423330.0,417830.6,412331.2,406831.8,401332.4,395833.0,390333.6,384834.2,379334.8,373835.4,368336.0,357093.6,345851.2,334608.8,323366.4,312124.0,300881.6,289639.2,278396.8,267154.4,255912.0,249511.7,243111.4,236711.1,230310.8,223910.5,217510.2,211109.9,204709.6,198309.3,191909.0,185508.7,179108.4,172708.1,166307.8,159907.5
ID,1839106.0,1811953.6,1784801.2,1757648.8,1730496.4,1703344.0,1676191.6,1649039.2,1621886.8,1594734.4,1567582.0,1540219.1,1512856.2,1485493.3,1458130.4,1430767.5,1403404.6,1376041.7,1348678.8,1321315.9,1293953.0,1265232.6,1236512.2,1207791.8,1179071.4,1150351.0,1121630.6,1092910.2,1064189.8,1035469.4,1006749.0,1000467.6,994186.2,987904.8,981623.4,975342.0,969060.6,962779.2,956497.8,950216.4,943935.0,920798.2,897661.4,874524.6,851387.8,828251.0,805114.2,781977.4,758840.6,735703.8,712567.0,708029.4,703491.8,698954.2,694416.6,689879.0,685341.4,680803.8,676266.2,671728.6,667191.0,659335.6,651480.2,643624.8,635769.4,627914.0,620058.6,612203.2,604347.8,596492.4,588637.0,582260.6,575884.2,569507.8,563131.4,556755.0,550378.6,544002.2,537625.8,531249.4,524873.0,516888.9,508904.8,500920.7,492936.6,484952.5,476968.4,468984.3,461000.2,453016.1,445032.0,443715.4,442398.8,441082.2,439765.6,438449.0,437132.4,435815.8,434499.2,433182.6,431866.0,421238.8,410611.6,399984.4,389357.2,378730.0,368102.8,357475.6,346848.4,336221.2,325594.0,314966.8,304339.6,293712.4,283085.2,272458.0
IL,12812508.0,12814320.4,12816132.8,12817945.2,12819757.6,12821570.0,12823382.4,12825194.8,12827007.2,12828819.6,12830632.0,12789498.1,12748364.2,12707230.3,12666096.4,12624962.5,12583828.6,12542694.7,12501560.8,12460426.9,12419293.0,12320423.9,12221554.8,12122685.7,12023816.6,11924947.5,11826078.4,11727209.3,11628340.2,11529471.1,11430602.0,11430193.6,11429785.2,11429376.8,11428968.4,11428560.0,11428151.6,11427743.2,11427334.8,11426926.4,11426518.0,11395263.8,11364009.6,11332755.4,11301501.2,11270247.0,11238992.8,11207738.6,11176484.4,11145230.2,11113976.0,11010694.2,10907412.4,10804130.6,10700848.8,10597567.0,10494285.2,10391003.4,10287721.6,10184439.8,10081158.0,9944259.8,9807361.6,9670463.4,9533565.2,9396667.0,9259768.8,9122870.6,8985972.4,8849074.2,8712176.0,8630682.5,8549189.0,8467695.5,8386202.0,8304708.5,8223215.0,8141721.5,8060228.0,7978734.5,7897241.0,7870582.3,7843923.6,7817264.9,7790606.2,7763947.5,7737288.8,7710630.1,7683971.4,7657312.7,7630654.0,7516116.6,7401579.2,7287041.8,7172504.4,7057967.0,6943429.6,6828892.2,6714354.8,6599817.4,6485280.0,6400611.1,6315942.2,6231273.3,6146604.4,6061935.5,5977266.6,5892597.7,5807928.8,5723259.9,5638591.0,5553922.1,5469253.2,5384584.3,5299915.4,5215246.5
IN,6785528.0,6755355.4,6725182.8,6695010.2,6664837.6,6634665.0,6604492.4,6574319.8,6544147.2,6513974.6,6483802.0,6443470.3,6403138.6,6362806.9,6322475.2,6282143.5,6241811.8,6201480.1,6161148.4,6120816.7,6080485.0,6026852.4,5973219.8,5919587.2,5865954.6,5812322.0,5758689.4,5705056.8,5651424.2,5597791.6,5544159.0,5538765.5,5533372.0,5527978.5,5522585.0,5517191.5,5511798.0,5506404.5,5501011.0,5495617.5,5490224.0,5460568.5,5430913.0,5401257.5,5371602.0,5341946.5,5312291.0,5282635.5,5252980.0,5223324.5,5193669.0,5140551.9,5087434.8,5034317.7,4981200.6,4928083.5,4874966.4,4821849.3,4768732.2,4715615.1,4662498.0,4589670.6,4516843.2,4444015.8,4371188.4,4298361.0,4225533.6,4152706.2,4079878.8,4007051.4,3934224.0,3883581.2,3832938.4,3782295.6,3731652.8,3681010.0,3630367.2,3579724.4,3529081.6,3478438.8,3427796.0,3408866.7,3389937.4,3371008.1,3352078.8,3333149.5,3314220.2,3295290.9,3276361.6,3257432.3,3238503.0,3207691.7,3176880.4,3146069.1,3115257.8,3084446.5,3053635.2,3022823.9,2992012.6,2961201.3,2930390.0,2907438.6,2884487.2,2861535.8,2838584.4,2815633.0,2792681.6,2769730.2,2746778.8,2723827.4,2700876.0,2677924.6,2654973.2,2632021.8,2609070.4,2586119.0
IA,3190369.0,3175967.6,3161566.2,3147164.8,3132763.4,3118362.0,3103960.6,3089559.2,3075157.8,3060756.4,3046355.0,3034351.9,3022348.8,3010345.7,2998342.6,2986339.5,2974336.4,2962333.3,2950330.2,2938327.1,2926324.0,2911367.1,2896410.2,2881453.3,2866496.4,2851539.5,2836582.6,2821625.7,2806668.8,2791711.9,2776755.0,2790460.3,2804165.6,2817870.9,2831576.2,2845281.5,2858986.8,2872692.1,2886397.4,2900102.7,2913808.0,2904864.8,2895921.6,2886978.4,2878035.2,2869092.0,2860148.8,2851205.6,2842262.4,2833319.2,2824376.0,2817692.1,2811008.2,2804324.3,2797640.4,2790956.5,2784272.6,2777588.7,2770904.8,2764220.9,2757537.0,2743890.6,2730244.2,2716597.8,2702951.4,2689305.0,2675658.6,2662012.2,2648365.8,2634719.4,2621073.0,2612792.5,2604512.0,2596231.5,2587951.0,2579670.5,2571390.0,2563109.5,2554829.0,2546548.5,2538268.0,2531535.1,2524802.2,2518069.3,2511336.4,2504603.5,2497870.6,2491137.7,2484404.8,2477671.9,2470939.0,2464247.2,2457555.4,2450863.6,2444171.8,2437480.0,2430788.2,2424096.4,2417404.6,2410712.8,2404021.0,2386096.0,2368171.0,2350246.0,2332321.0,2314396.0,2296471.0,2278546.0,2260621.0,2242696.0,2224771.0,2206846.0,2188921.0,2170996.0,2153071.0,2135146.0
